timestamp_wat,asset,signal,confidence,price,analysis,confirms,meta,result,result_time_wat
2025-10-23 08:34:12,TSLA,BUY,86,438.84,EMA fast>slow; PSAR below price,3,"{""ema_fast"": 438.568549076562, ""ema_slow"": 438.26740987975114, ""macd_hist"": 0.0937063918542983, ""rsi"": 58.3579455780904, ""atr"": 0.6146887033399422, ""psar"": 437.44336067189636}",,
2025-10-23 08:36:13,TSLA,BUY,86,438.84,EMA fast>slow; PSAR below price,3,"{""ema_fast"": 438.568549076562, ""ema_slow"": 438.26740987975114, ""macd_hist"": 0.0937063918542983, ""rsi"": 58.3579455780904, ""atr"": 0.6146887033399422, ""psar"": 437.44336067189636}",❌ LOSS,2025-10-23 08:36:13
2025-10-23 08:57:29,BTC/USD,SELL,98,109289.4,EMA fast<slow; MACD hist falling; PSAR above price,4,"{""ema_fast"": 109392.58870810812, ""ema_slow"": 109448.98068431724, ""macd_hist"": -3.417402968023673, ""rsi"": 31.385113559204143, ""atr"": 74.67447314180468, ""psar"": 109590.4}",,
2025-10-23 08:59:31,BTC/USD,SELL,98,109289.4,EMA fast<slow; MACD hist falling; PSAR above price,4,"{""ema_fast"": 109392.58870810812, ""ema_slow"": 109448.98068431724, ""macd_hist"": -3.417402968023673, ""rsi"": 31.385113559204143, ""atr"": 74.67447314180468, ""psar"": 109590.4}",❌ LOSS,2025-10-23 08:59:31
2025-10-23 09:06:07,ETH/USD,BUY,98,3887.61,EMA fast>slow; MACD hist rising; PSAR below price,4,"{""ema_fast"": 3884.5994601052967, ""ema_slow"": 3882.9956968965776, ""macd_hist"": 0.5807891754911445, ""rsi"": 61.173608517902146, ""atr"": 2.731868454486186, ""psar"": 3878.9289120000003}",,
2025-10-23 09:08:08,ETH/USD,BUY,98,3887.61,EMA fast>slow; MACD hist rising; PSAR below price,4,"{""ema_fast"": 3884.5994601052967, ""ema_slow"": 3882.9956968965776, ""macd_hist"": 0.5807891754911445, ""rsi"": 61.173608517902146, ""atr"": 2.731868454486186, ""psar"": 3878.9289120000003}",❌ LOSS,2025-10-23 09:08:08
2025-10-23 09:24:29,AAPL,BUY,90,258.42999,EMA fast>slow; PSAR below price,3,"{""ema_fast"": 258.34132647467186, ""ema_slow"": 258.1049926085195, ""macd_hist"": 0.03268830343415852, ""rsi"": 66.70897887711018, ""atr"": 0.2212921479284202, ""psar"": 258.0382666269268}",,
2025-10-23 09:26:31,AAPL,BUY,90,258.42999,EMA fast>slow; PSAR below price,3,"{""ema_fast"": 258.34132647467186, ""ema_slow"": 258.1049926085195, ""macd_hist"": 0.03268830343415852, ""rsi"": 66.70897887711018, ""atr"": 0.2212921479284202, ""psar"": 258.0382666269268}",❌ LOSS,2025-10-23 09:26:31
2025-10-23 09:30:07,MSFT,BUY,90,520.47998,EMA fast>slow; PSAR below price,3,"{""ema_fast"": 520.4184648161793, ""ema_slow"": 520.3514612545748, ""macd_hist"": 0.011194472794028063, ""rsi"": 53.182398877539526, ""atr"": 0.39371578105879335, ""psar"": 519.6799183024799}",,
2025-10-23 09:32:13,MSFT,BUY,90,520.47998,EMA fast>slow; PSAR below price,3,"{""ema_fast"": 520.4184648161793, ""ema_slow"": 520.3514612545748, ""macd_hist"": 0.011194472794028063, ""rsi"": 53.182398877539526, ""atr"": 0.39371578105879335, ""psar"": 519.6799183024799}",❌ LOSS,2025-10-23 09:32:13
